Gamma	Mean Dataset SSIM
-----------------------------------
0.0100	0.136427
0.0200	0.155783
0.0300	0.169626
0.0400	0.180729
0.0500	0.190231
0.0600	0.198690
0.0700	0.206442
0.0800	0.213710
0.0900	0.220651
0.1000	0.227379
0.1100	0.233976
0.1200	0.240500
0.1300	0.246991
0.1400	0.253474
0.1500	0.259964
0.1600	0.266465
0.1700	0.272977
0.1800	0.279491
0.1900	0.285993
0.2000	0.292468
0.2100	0.298892
0.2200	0.305241
0.2300	0.311488
0.2400	0.317602
0.2500	0.323553
0.2600	0.329306
0.2700	0.334827
0.2800	0.340081
0.2900	0.345032
0.3000	0.349648
0.3100	0.353893
0.3200	0.357736
0.3300	0.361149
0.3400	0.364103
0.3500	0.366575
0.3600	0.368546
0.3700	0.370000
0.3800	0.370925
0.3900	0.371314
0.4000	0.371167
0.4100	0.370485
0.4200	0.369275
0.4300	0.367550
0.4400	0.365324
0.4500	0.362617
0.4600	0.359452
0.4700	0.355854
0.4800	0.351850
0.4900	0.347469
0.5000	0.342742
0.5100	0.337700
0.5200	0.332375
0.5300	0.326797
0.5400	0.320999
0.5500	0.315009
0.5600	0.308858
0.5700	0.302574
0.5800	0.296183
0.5900	0.289711
0.6000	0.283181
0.6100	0.276615
0.6200	0.270034
0.6300	0.263456
0.6400	0.256899
0.6500	0.250378
0.6600	0.243908
0.6700	0.237500
0.6800	0.231166
0.6900	0.224916
0.7000	0.218759
0.7100	0.212702
0.7200	0.206751
0.7300	0.200912
0.7400	0.195190
0.7500	0.189588
0.7600	0.184108
0.7700	0.178754
0.7800	0.173527
0.7900	0.168427
0.8000	0.163456
0.8100	0.158613
0.8200	0.153898
0.8300	0.149310
0.8400	0.144849
0.8500	0.140512
0.8600	0.136298
0.8700	0.132207
0.8800	0.128234
0.8900	0.124379
0.9000	0.120640
0.9100	0.117013
0.9200	0.113497
0.9300	0.110088
0.9400	0.106785
0.9500	0.103585
0.9600	0.100485
0.9700	0.097483
0.9800	0.094576
0.9900	0.091761
1.0000	0.089036

Optimal Gamma : 0.3900
Maximum SSIM  : 0.371314
